interaction,ligand,receptor,type,classification,source
MDK->-PTPRZ1,MDK,PTPRZ1,diffusion,Signaling by Midkine,CellPhoneDB-v5
MICA->-KLRK1_HCST,MICA,KLRK1_HCST,contact,,CellPhoneDB-v5
MICB->-KLRK1_HCST,MICB,KLRK1_HCST,contact,,CellPhoneDB-v5
MLN->-MLNR,MLN,MLNR,diffusion,,CellPhoneDB-v5
MMP2->-ITGAV_ITGB3,MMP2,ITGAV_ITGB3,diffusion,,CellPhoneDB-v5
MST1->-MST1R,MST1,MST1R,diffusion,,CellPhoneDB-v5
MSTN->-ACVR1B_ACVR2B,MSTN,ACVR1B_ACVR2B,diffusion,Signaling by Growth differentiation factor,CellPhoneDB-v5
MSTN->-TGFBR1_ACVR2A,MSTN,TGFBR1_ACVR2A,diffusion,Signaling by Growth differentiation factor,CellPhoneDB-v5
MSTN->-TGFBR1_ACVR2B,MSTN,TGFBR1_ACVR2B,diffusion,Signaling by Growth differentiation factor,CellPhoneDB-v5
MT-RNR2->-FPR2,MT-RNR2,FPR2,diffusion,Signaling by Humanin,CellPhoneDB-v5
MT-RNR2->-FPR3,MT-RNR2,FPR3,diffusion,Signaling by Humanin,CellPhoneDB-v5
NCAM1->-AGRN,NCAM1,AGRN,diffusion,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,CellPhoneDB-v5
NCAM1->-FGFR1,NCAM1,FGFR1,diffusion,Signaling by Fibroblast growth factor,CellPhoneDB-v5
NCR3LG1->-NCR3,NCR3LG1,NCR3,contact,,CellPhoneDB-v5
NDP->-LRP5_FZD4,NDP,LRP5_FZD4,diffusion,,CellPhoneDB-v5
NECTIN2->-TIGIT,NECTIN2,TIGIT,contact,Signaling by Nectin,CellPhoneDB-v5
NECTIN3->-PVR,NECTIN3,PVR,contact,Signaling by Nectin,CellPhoneDB-v5
NECTIN3->-TIGIT,NECTIN3,TIGIT,contact,Signaling by Nectin,CellPhoneDB-v5
NELL2->-ROBO3,NELL2,ROBO3,diffusion,,CellPhoneDB-v5
NGF->-NGFR,NGF,NGFR,diffusion,Signaling by Beta-nerve growth factor,CellPhoneDB-v5
NGF->-NTRK1,NGF,NTRK1,diffusion,Signaling by Beta-nerve growth factor,CellPhoneDB-v5
NGF->-SORT1,NGF,SORT1,diffusion,Signaling by Beta-nerve growth factor,CellPhoneDB-v5
